Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.80008562500000000000e+005	0.00000000000000000000e+000	5.80000000000000000000e+005	2.09139165239999991587e-004	0.00000000000000000000e+000	1.15855216979999994464e+002	0.00000000000000000000e+000	-9.12052803487438992205e-005	0.00000000000000000000e+000	1.88204110671874119904e-004	0.00000000000000000000e+000	6.37999931350350379944e-001	1	1
5.80011875000000000000e+005	0.00000000000000000000e+000	5.80002000000000000000e+005	2.09867619560000012117e-004	0.00000000000000000000e+000	1.15865173339999998348e+002	0.00000000000000000000e+000	-9.15557751960238680846e-005	0.00000000000000000000e+000	1.88843739022600474705e-004	0.00000000000000000000e+000	8.15999931306578218937e-001	1	1
5.80013625000000000000e+005	0.00000000000000000000e+000	5.80004000000000000000e+005	2.10001206140000005237e-004	0.00000000000000000000e+000	1.15853965759999994134e+002	0.00000000000000000000e+000	-9.15770881623602188686e-005	0.00000000000000000000e+000	1.88981860251078256268e-004	0.00000000000000000000e+000	9.96999931288883090019e-001	1	1
5.80015500000000000000e+005	0.00000000000000000000e+000	5.80006000000000000000e+005	2.10108788450000006113e-004	0.00000000000000000000e+000	1.15849052430000000413e+002	0.00000000000000000000e+000	-9.16077879855451196727e-005	0.00000000000000000000e+000	1.89086530890812714234e-004	0.00000000000000000000e+000	1.17699993134010583162e+000	1	1
5.80017500000000000000e+005	0.00000000000000000000e+000	5.80008000000000000000e+005	2.10253157999999999890e-004	0.00000000000000000000e+000	1.15836853030000000331e+002	0.00000000000000000000e+000	-9.16304433668017702776e-005	0.00000000000000000000e+000	1.89235969882515473210e-004	0.00000000000000000000e+000	1.35799993132241070271e+000	1	1
5.80019500000000000000e+005	0.00000000000000000000e+000	5.80010000000000000000e+005	2.10356520259999987647e-004	0.00000000000000000000e+000	1.15827644349999999918e+002	0.00000000000000000000e+000	-9.16450592021297378220e-005	0.00000000000000000000e+000	1.89343731714926137317e-004	0.00000000000000000000e+000	1.53099993139039725065e+000	1	1
5.80020500000000000000e+005	0.00000000000000000000e+000	5.80012000000000000000e+005	2.10464568229999995919e-004	0.00000000000000000000e+000	1.15823226930000004131e+002	0.00000000000000000000e+000	-9.16775260724491357356e-005	0.00000000000000000000e+000	1.89448055396395498426e-004	0.00000000000000000000e+000	1.70599993132054805756e+000	1	1
5.80023125000000000000e+005	0.00000000000000000000e+000	5.80014000000000000000e+005	2.10639977009999989277e-004	0.00000000000000000000e+000	1.15806205750000003718e+002	0.00000000000000000000e+000	-9.16976020828164778680e-005	0.00000000000000000000e+000	1.89633197745106807071e-004	0.00000000000000000000e+000	1.88199993129819631577e+000	1	1
5.80025812500000000000e+005	0.00000000000000000000e+000	5.80016000000000000000e+005	2.10755621080000008112e-004	0.00000000000000000000e+000	1.15798873900000003800e+002	0.00000000000000000000e+000	-9.17236647808195742528e-005	0.00000000000000000000e+000	1.89749047786787021497e-004	0.00000000000000000000e+000	2.05899993132334202528e+000	1	1
5.80027250000000000000e+005	0.00000000000000000000e+000	5.80018000000000000000e+005	2.10906437129999992748e-004	0.00000000000000000000e+000	1.15788604739999996696e+002	0.00000000000000000000e+000	-9.17552672866988011484e-005	0.00000000000000000000e+000	1.89901280006262991422e-004	0.00000000000000000000e+000	2.23499993130099028349e+000	1	1
