Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.16505125000000000000e+005	0.00000000000000000000e+000	3.16500000000000000000e+005	9.20803213380000043107e-005	0.00000000000000000000e+000	1.13546768189999994547e+002	0.00000000000000000000e+000	-3.67858548091946747460e-005	0.00000000000000000000e+000	8.44131889201337208464e-005	0.00000000000000000000e+000	9.94999982882291078568e-001	1	1
3.16505250000000000000e+005	0.00000000000000000000e+000	3.16501000000000000000e+005	9.20748789209999992213e-005	0.00000000000000000000e+000	1.13541854860000000826e+002	0.00000000000000000000e+000	-3.67764421196232010555e-005	0.00000000000000000000e+000	8.44113536992436560907e-005	0.00000000000000000000e+000	1.21899998281151056290e+000	1	1
3.16507343750000000000e+005	0.00000000000000000000e+000	3.16502000000000000000e+005	9.20867896640000004396e-005	0.00000000000000000000e+000	1.13550323489999996696e+002	0.00000000000000000000e+000	-3.67936771671630534746e-005	0.00000000000000000000e+000	8.44168357091188364212e-005	0.00000000000000000000e+000	1.47299998288508504629e+000	1	1
3.16508812500000000000e+005	0.00000000000000000000e+000	3.16503000000000000000e+005	9.21089158509999983079e-005	0.00000000000000000000e+000	1.13550537109999993390e+002	0.00000000000000000000e+000	-3.68028325941332498184e-005	0.00000000000000000000e+000	8.44369817810584856119e-005	0.00000000000000000000e+000	1.72499998286366462708e+000	1	1
3.16509000000000000000e+005	0.00000000000000000000e+000	3.16504000000000000000e+005	9.20943057279999938419e-005	0.00000000000000000000e+000	1.13544670100000004709e+002	0.00000000000000000000e+000	-3.67883499524797083599e-005	0.00000000000000000000e+000	8.44273560837731004963e-005	0.00000000000000000000e+000	1.97799998288974165916e+000	1	1
3.16510250000000000000e+005	0.00000000000000000000e+000	3.16505000000000000000e+005	9.21157989069999977132e-005	0.00000000000000000000e+000	1.13548606870000000413e+002	0.00000000000000000000e+000	-3.68027379380613829923e-005	0.00000000000000000000e+000	8.44445314306216019383e-005	0.00000000000000000000e+000	2.22299998288508504629e+000	1	1
3.16511125000000000000e+005	0.00000000000000000000e+000	3.16506000000000000000e+005	9.21191749509999932306e-005	0.00000000000000000000e+000	1.13542732240000006527e+002	0.00000000000000000000e+000	-3.67954280118325217572e-005	0.00000000000000000000e+000	8.44513994619331038755e-005	0.00000000000000000000e+000	2.46899998281151056290e+000	1	1
3.16512406250000000000e+005	0.00000000000000000000e+000	3.16507000000000000000e+005	9.20915263120000005372e-005	0.00000000000000000000e+000	1.13554611210000004462e+002	0.00000000000000000000e+000	-3.68018872569291573445e-005	0.00000000000000000000e+000	8.44184240127832758935e-005	0.00000000000000000000e+000	2.71599998278543353081e+000	1	1
3.16513656250000000000e+005	0.00000000000000000000e+000	3.16508000000000000000e+005	9.21156606639999967281e-005	0.00000000000000000000e+000	1.13547294620000002396e+002	0.00000000000000000000e+000	-3.68007486594283558757e-005	0.00000000000000000000e+000	8.44452475730326536374e-005	0.00000000000000000000e+000	2.96699998283293098211e+000	1	1
3.16514000000000000000e+005	0.00000000000000000000e+000	3.16509000000000000000e+005	9.21200407900000047988e-005	0.00000000000000000000e+000	1.13549530029999999670e+002	0.00000000000000000000e+000	-3.68057933278237260698e-005	0.00000000000000000000e+000	8.44478270452282952238e-005	0.00000000000000000000e+000	3.21599998278543353081e+000	1	1
