TimeAll	TimeExperiment	R	Theta
4.229999e-001	8.699989e-002	3.655979e-004	1.161652e+002
5.549998e-001	2.189999e-001	3.656308e-004	1.161619e+002
6.640000e-001	3.280001e-001	3.662611e-004	1.158333e+002
7.890000e-001	4.530001e-001	3.669314e-004	1.154225e+002
8.980000e-001	5.620000e-001	3.675034e-004	1.149767e+002
9.919999e-001	6.559999e-001	3.677764e-004	1.146080e+002
1.060000e+000	7.240000e-001	3.679265e-004	1.142196e+002
1.152000e+000	8.160000e-001	3.679820e-004	1.138322e+002
1.245000e+000	9.089999e-001	3.678020e-004	1.134168e+002
1.337000e+000	1.001000e+000	3.674814e-004	1.129802e+002
1.434000e+000	1.098000e+000	3.669533e-004	1.125053e+002
1.529000e+000	1.193000e+000	3.661516e-004	1.120228e+002
1.623000e+000	1.287000e+000	3.650749e-004	1.115273e+002
1.719000e+000	1.383000e+000	3.636083e-004	1.110209e+002
1.815000e+000	1.479000e+000	3.618717e-004	1.105018e+002
1.910000e+000	1.574000e+000	3.597085e-004	1.099901e+002
2.004000e+000	1.668000e+000	3.572140e-004	1.095038e+002
2.098000e+000	1.762000e+000	3.543693e-004	1.090448e+002
2.192000e+000	1.856000e+000	3.511673e-004	1.086113e+002
2.286000e+000	1.950000e+000	3.476268e-004	1.082309e+002
2.380000e+000	2.044000e+000	3.438154e-004	1.079064e+002
2.476000e+000	2.140000e+000	3.397203e-004	1.076362e+002
2.571000e+000	2.235000e+000	3.355171e-004	1.074531e+002
2.664000e+000	2.328000e+000	3.312701e-004	1.073424e+002
2.796000e+000	2.460000e+000	3.266452e-004	1.073159e+002
2.905000e+000	2.569000e+000	3.224092e-004	1.073803e+002
2.999000e+000	2.663000e+000	3.181108e-004	1.075385e+002
3.108000e+000	2.772000e+000	3.142728e-004	1.077600e+002
3.201000e+000	2.865000e+000	3.104233e-004	1.080860e+002
3.311000e+000	2.975000e+000	3.074161e-004	1.084189e+002
3.420000e+000	3.084000e+000	3.042436e-004	1.088688e+002
3.513000e+000	3.177000e+000	3.015818e-004	1.093407e+002
3.623000e+000	3.287000e+000	2.994811e-004	1.097816e+002
3.716000e+000	3.380000e+000	2.975715e-004	1.102920e+002
3.810000e+000	3.474000e+000	2.961408e-004	1.107451e+002
3.919000e+000	3.583000e+000	2.949866e-004	1.111954e+002
4.028000e+000	3.692000e+000	2.938843e-004	1.117100e+002
4.122000e+000	3.786000e+000	2.930879e-004	1.121971e+002
4.231000e+000	3.895000e+000	2.930469e-004	1.122527e+002
4.325000e+000	3.989000e+000	2.931018e-004	1.121956e+002
4.418000e+000	4.082000e+000	2.931370e-004	1.121544e+002
4.527000e+000	4.191000e+000	2.931909e-004	1.121127e+002
4.591000e+000	4.255000e+000	2.932219e-004	1.120734e+002
