Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.86016000000000000000e+005	0.00000000000000000000e+000	9.86000000000000000000e+005	3.36445315039999995940e-004	0.00000000000000000000e+000	1.20383407590000004461e+002	0.00000000000000000000e+000	-1.70168635275548096441e-004	0.00000000000000000000e+000	2.90237980941196482311e-004	0.00000000000000000000e+000	6.31999895093031227589e-001	1	1
9.86018687500000000000e+005	0.00000000000000000000e+000	9.86002000000000000000e+005	3.36864846759999986454e-004	0.00000000000000000000e+000	1.20383346560000006775e+002	0.00000000000000000000e+000	-1.70380518139978437593e-004	0.00000000000000000000e+000	2.90600075741543370338e-004	0.00000000000000000000e+000	8.06999895139597356319e-001	1	1
9.86020312500000000000e+005	0.00000000000000000000e+000	9.86004000000000000000e+005	3.36941069690000025594e-004	0.00000000000000000000e+000	1.20381599429999994300e+002	0.00000000000000000000e+000	-1.70410207001460423104e-004	0.00000000000000000000e+000	2.90671026752858279504e-004	0.00000000000000000000e+000	9.83999895048327744007e-001	1	1
9.86020875000000000000e+005	0.00000000000000000000e+000	9.86006000000000000000e+005	3.37036879499999985580e-004	0.00000000000000000000e+000	1.20376983640000005948e+002	0.00000000000000000000e+000	-1.70435239573499226285e-004	0.00000000000000000000e+000	2.90767410922581649984e-004	0.00000000000000000000e+000	1.16299989505205303431e+000	1	1
9.86023937500000000000e+005	0.00000000000000000000e+000	9.86008000000000000000e+005	3.37112753189999986899e-004	0.00000000000000000000e+000	1.20376266479999998182e+002	0.00000000000000000000e+000	-1.70469967617089288112e-004	0.00000000000000000000e+000	2.90835002198790333605e-004	0.00000000000000000000e+000	1.34299989510327577591e+000	1	1
9.86026125000000000000e+005	0.00000000000000000000e+000	9.86010000000000000000e+005	3.37158620820000008451e-004	0.00000000000000000000e+000	1.20368515009999995868e+002	0.00000000000000000000e+000	-1.70453808201060887833e-004	0.00000000000000000000e+000	2.90897636399817640165e-004	0.00000000000000000000e+000	1.52099989505950361490e+000	1	1
9.86026750000000000000e+005	0.00000000000000000000e+000	9.86012000000000000000e+005	3.37234640029999976907e-004	0.00000000000000000000e+000	1.20371063230000004296e+002	0.00000000000000000000e+000	-1.70505180820247360376e-004	0.00000000000000000000e+000	2.90955642237125916127e-004	0.00000000000000000000e+000	1.69599989510606974363e+000	1	1
9.86030375000000000000e+005	0.00000000000000000000e+000	9.86014000000000000000e+005	3.37344099530000019697e-004	0.00000000000000000000e+000	1.20364997860000002561e+002	0.00000000000000000000e+000	-1.70529711617808943380e-004	0.00000000000000000000e+000	2.91068134537694582498e-004	0.00000000000000000000e+000	1.86999989510513842106e+000	1	1
9.86031312500000000000e+005	0.00000000000000000000e+000	9.86016000000000000000e+005	3.37439036229999990337e-004	0.00000000000000000000e+000	1.20359336850000005370e+002	0.00000000000000000000e+000	-1.70548935351321834719e-004	0.00000000000000000000e+000	2.91166900286351040296e-004	0.00000000000000000000e+000	2.04599989508278667927e+000	1	1
9.86034062500000000000e+005	0.00000000000000000000e+000	9.86018000000000000000e+005	3.37492703689999987929e-004	0.00000000000000000000e+000	1.20356750489999996034e+002	0.00000000000000000000e+000	-1.70562914355394754790e-004	0.00000000000000000000e+000	2.91220908058780045182e-004	0.00000000000000000000e+000	2.22499989508651196957e+000	1	1
9.86035062500000000000e+005	0.00000000000000000000e+000	9.86020000000000000000e+005	3.37574514560000013812e-004	0.00000000000000000000e+000	1.20353820799999994051e+002	0.00000000000000000000e+000	-1.70589365384933832606e-004	0.00000000000000000000e+000	2.91300225365489866541e-004	0.00000000000000000000e+000	2.39999989513307809830e+000	1	1
9.86038687500000000000e+005	0.00000000000000000000e+000	9.86022000000000000000e+005	3.37650009899999976534e-004	0.00000000000000000000e+000	1.20350448610000000826e+002	0.00000000000000000000e+000	-1.70610367236656091175e-004	0.00000000000000000000e+000	2.91375413816683252917e-004	0.00000000000000000000e+000	2.57799989508930593729e+000	1	1
9.86039250000000000000e+005	0.00000000000000000000e+000	9.86024000000000000000e+005	3.37763223800000001156e-004	0.00000000000000000000e+000	1.20346672060000003057e+002	0.00000000000000000000e+000	-1.70648360512645828587e-004	0.00000000000000000000e+000	2.91484360482882425523e-004	0.00000000000000000000e+000	2.75199989508837461472e+000	1	1
9.86042250000000000000e+005	0.00000000000000000000e+000	9.86026000000000000000e+005	3.37883015160000022437e-004	0.00000000000000000000e+000	1.20344139100000006692e+002	0.00000000000000000000e+000	-1.70695991968296354596e-004	0.00000000000000000000e+000	2.91595285043452128251e-004	0.00000000000000000000e+000	2.92699989513494074345e+000	1	1
9.86043437500000000000e+005	0.00000000000000000000e+000	9.86028000000000000000e+005	3.37940786270000015790e-004	0.00000000000000000000e+000	1.20341049190000006774e+002	0.00000000000000000000e+000	-1.70709449095461619165e-004	0.00000000000000000000e+000	2.91654348526316066579e-004	0.00000000000000000000e+000	3.10299989511258900166e+000	1	1
9.86045250000000000000e+005	0.00000000000000000000e+000	9.86030000000000000000e+005	3.38043348169999994558e-004	0.00000000000000000000e+000	1.20334274289999996199e+002	0.00000000000000000000e+000	-1.70726759705787297381e-004	0.00000000000000000000e+000	2.91763052428415292552e-004	0.00000000000000000000e+000	3.27899989509023725986e+000	1	1
9.86047625000000000000e+005	0.00000000000000000000e+000	9.86032000000000000000e+005	3.38121841199999994231e-004	0.00000000000000000000e+000	1.20330139160000001652e+002	0.00000000000000000000e+000	-1.70745339788613891083e-004	0.00000000000000000000e+000	2.91843122990672514463e-004	0.00000000000000000000e+000	3.45799989509396255016e+000	1	1
9.86050062500000000000e+005	0.00000000000000000000e+000	9.86034000000000000000e+005	3.38208395990000011862e-004	0.00000000000000000000e+000	1.20325584410000004709e+002	0.00000000000000000000e+000	-1.70765841713663309685e-004	0.00000000000000000000e+000	2.91931407049588853390e-004	0.00000000000000000000e+000	3.63499989511910825968e+000	1	1
9.86051125000000000000e+005	0.00000000000000000000e+000	9.86036000000000000000e+005	3.38338926669999996797e-004	0.00000000000000000000e+000	1.20321022029999994629e+002	0.00000000000000000000e+000	-1.70808492772499205580e-004	0.00000000000000000000e+000	2.92057679400824416784e-004	0.00000000000000000000e+000	3.81099989509675651789e+000	1	1
9.86053437500000000000e+005	0.00000000000000000000e+000	9.86038000000000000000e+005	3.38443001970000021533e-004	0.00000000000000000000e+000	1.20315826419999993391e+002	0.00000000000000000000e+000	-1.70834541813465022467e-004	0.00000000000000000000e+000	2.92163010844714735124e-004	0.00000000000000000000e+000	3.98799989512190222740e+000	1	1
9.86055687500000000000e+005	0.00000000000000000000e+000	9.86040000000000000000e+005	3.38505749819999993567e-004	0.00000000000000000000e+000	1.20311271669999996448e+002	0.00000000000000000000e+000	-1.70842984342393472115e-004	0.00000000000000000000e+000	2.92230760465398483206e-004	0.00000000000000000000e+000	4.16499989514704793692e+000	1	1
9.86058625000000000000e+005	0.00000000000000000000e+000	9.86042000000000000000e+005	3.38642304999999975076e-004	0.00000000000000000000e+000	1.20308639529999993556e+002	0.00000000000000000000e+000	-1.70898472858174846128e-004	0.00000000000000000000e+000	2.92356499347041489875e-004	0.00000000000000000000e+000	4.34999989508651196957e+000	1	1
