Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
5.80009500000000000000e+005	0.00000000000000000000e+000	5.80000000000000000000e+005	2.03855655850000006121e-004	0.00000000000000000000e+000	1.16204261779999995952e+002	0.00000000000000000000e+000	-9.00170639230322749882e-005	0.00000000000000000000e+000	1.82904501379026657214e-004	0.00000000000000000000e+000	6.36000030557624995708e-001	1	1
5.80012125000000000000e+005	0.00000000000000000000e+000	5.80002000000000000000e+005	2.04329728149999986786e-004	0.00000000000000000000e+000	1.16213302609999999504e+002	0.00000000000000000000e+000	-9.02553281483569122675e-005	0.00000000000000000000e+000	1.83315611846578152035e-004	0.00000000000000000000e+000	8.11000030487775802612e-001	1	1
5.80013500000000000000e+005	0.00000000000000000000e+000	5.80004000000000000000e+005	2.04381591170000004136e-004	0.00000000000000000000e+000	1.16219474790000006692e+002	0.00000000000000000000e+000	-9.02979889144579647925e-005	0.00000000000000000000e+000	1.83352414784167640563e-004	0.00000000000000000000e+000	9.89000030560418963432e-001	1	1
5.80013812500000000000e+005	0.00000000000000000000e+000	5.80006000000000000000e+005	2.04451687749999987467e-004	0.00000000000000000000e+000	1.16212409969999995951e+002	0.00000000000000000000e+000	-9.03063417445583779949e-005	0.00000000000000000000e+000	1.83426435566246904055e-004	0.00000000000000000000e+000	1.16600003046914935112e+000	1	1
5.80017687500000000000e+005	0.00000000000000000000e+000	5.80008000000000000000e+005	2.04494106580000004113e-004	0.00000000000000000000e+000	1.16214454649999993308e+002	0.00000000000000000000e+000	-9.03316252775412644122e-005	0.00000000000000000000e+000	1.83461268666359854492e-004	0.00000000000000000000e+000	1.34400003054179251194e+000	1	1
5.80019375000000000000e+005	0.00000000000000000000e+000	5.80010000000000000000e+005	2.04550393390000003271e-004	0.00000000000000000000e+000	1.16202072139999998512e+002	0.00000000000000000000e+000	-9.03168271133082575493e-005	0.00000000000000000000e+000	1.83531289365569877988e-004	0.00000000000000000000e+000	1.52400003047659993172e+000	1	1
5.80020500000000000000e+005	0.00000000000000000000e+000	5.80012000000000000000e+005	2.04599389689999992684e-004	0.00000000000000000000e+000	1.16195610049999999092e+002	0.00000000000000000000e+000	-9.03177557925001543672e-005	0.00000000000000000000e+000	1.83585438556893137388e-004	0.00000000000000000000e+000	1.70100003050174564123e+000	1	1
5.80022312500000000000e+005	0.00000000000000000000e+000	5.80014000000000000000e+005	2.04640920860000007650e-004	0.00000000000000000000e+000	1.16201934809999997356e+002	0.00000000000000000000e+000	-9.03563583620621389595e-005	0.00000000000000000000e+000	1.83612731023683064353e-004	0.00000000000000000000e+000	1.87500003050081431866e+000	1	1
5.80024437500000000000e+005	0.00000000000000000000e+000	5.80016000000000000000e+005	2.04710115209999997648e-004	0.00000000000000000000e+000	1.16197814940000000661e+002	0.00000000000000000000e+000	-9.03737027415134694256e-005	0.00000000000000000000e+000	1.83681314025352154448e-004	0.00000000000000000000e+000	2.05300003057345747948e+000	1	1
5.80027375000000000000e+005	0.00000000000000000000e+000	5.80018000000000000000e+005	2.04780953939999991629e-004	0.00000000000000000000e+000	1.16195663449999997852e+002	0.00000000000000000000e+000	-9.03980762381377891696e-005	0.00000000000000000000e+000	1.83748270492596003488e-004	0.00000000000000000000e+000	2.22700003057252615690e+000	1	1
5.80028437500000000000e+005	0.00000000000000000000e+000	5.80020000000000000000e+005	2.04829193540000012268e-004	0.00000000000000000000e+000	1.16193420410000001652e+002	0.00000000000000000000e+000	-9.04121758057164348751e-005	0.00000000000000000000e+000	1.83795095125857492740e-004	0.00000000000000000000e+000	2.40300003055017441511e+000	1	1
5.80031187500000000000e+005	0.00000000000000000000e+000	5.80022000000000000000e+005	2.04863448739999999505e-004	0.00000000000000000000e+000	1.16186355590000005122e+002	0.00000000000000000000e+000	-9.04046289308089594293e-005	0.00000000000000000000e+000	1.83836981310968403808e-004	0.00000000000000000000e+000	2.58700003055855631828e+000	1	1
5.80033562500000000000e+005	0.00000000000000000000e+000	5.80024000000000000000e+005	2.04910524189999988104e-004	0.00000000000000000000e+000	1.16183380130000003305e+002	0.00000000000000000000e+000	-9.04158536973956333425e-005	0.00000000000000000000e+000	1.83883920786978322538e-004	0.00000000000000000000e+000	2.76200003048870712519e+000	1	1
5.80036437500000000000e+005	0.00000000000000000000e+000	5.80026000000000000000e+005	2.04973097419999995437e-004	0.00000000000000000000e+000	1.16177520749999999339e+002	0.00000000000000000000e+000	-9.04246526644967207800e-005	0.00000000000000000000e+000	1.83949321435154897631e-004	0.00000000000000000000e+000	2.93700003053527325392e+000	1	1
5.80037062500000000000e+005	0.00000000000000000000e+000	5.80028000000000000000e+005	2.05027768969999994600e-004	0.00000000000000000000e+000	1.16184547420000001239e+002	0.00000000000000000000e+000	-9.04713358346767674298e-005	0.00000000000000000000e+000	1.83987291520650486556e-004	0.00000000000000000000e+000	3.11600003053899854422e+000	1	1
5.80040062500000000000e+005	0.00000000000000000000e+000	5.80030000000000000000e+005	2.05096934219999987034e-004	0.00000000000000000000e+000	1.16175315859999997770e+002	0.00000000000000000000e+000	-9.04722005444845938206e-005	0.00000000000000000000e+000	1.84063938225502378345e-004	0.00000000000000000000e+000	3.29400003049522638321e+000	1	1
5.80041312500000000000e+005	0.00000000000000000000e+000	5.80032000000000000000e+005	2.05181335329999986602e-004	0.00000000000000000000e+000	1.16169464110000006940e+002	0.00000000000000000000e+000	-9.04906244147004966806e-005	0.00000000000000000000e+000	1.84148926852261362284e-004	0.00000000000000000000e+000	3.47000003047287464142e+000	1	1
5.80044187500000000000e+005	0.00000000000000000000e+000	5.80034000000000000000e+005	2.05231757719999998975e-004	0.00000000000000000000e+000	1.16176460270000006858e+002	0.00000000000000000000e+000	-9.05353526228966885847e-005	0.00000000000000000000e+000	1.84183127083586392668e-004	0.00000000000000000000e+000	3.64600003056693822145e+000	1	1
5.80046312500000000000e+005	0.00000000000000000000e+000	5.80036000000000000000e+005	2.05301257669999993004e-004	0.00000000000000000000e+000	1.16167182920000001900e+002	0.00000000000000000000e+000	-9.05361773590365438930e-005	0.00000000000000000000e+000	1.84260161158338330077e-004	0.00000000000000000000e+000	3.82200003054458647966e+000	1	1
5.80048062500000000000e+005	0.00000000000000000000e+000	5.80038000000000000000e+005	2.05351025219999990630e-004	0.00000000000000000000e+000	1.16166687010000003966e+002	0.00000000000000000000e+000	-9.05565292320009473980e-005	0.00000000000000000000e+000	1.84305611885148077495e-004	0.00000000000000000000e+000	4.00000003050081431866e+000	1	1
5.80049062500000000000e+005	0.00000000000000000000e+000	5.80040000000000000000e+005	2.05393604119999986747e-004	0.00000000000000000000e+000	1.16165084840000005784e+002	0.00000000000000000000e+000	-9.05701509803998896196e-005	0.00000000000000000000e+000	1.84346359781772841779e-004	0.00000000000000000000e+000	4.17700003052596002817e+000	1	1
5.80051750000000000000e+005	0.00000000000000000000e+000	5.80042000000000000000e+005	2.05465563339999999657e-004	0.00000000000000000000e+000	1.16157989499999999339e+002	0.00000000000000000000e+000	-9.05790444428359957894e-005	0.00000000000000000000e+000	1.84422163598755911237e-004	0.00000000000000000000e+000	4.35400003055110573769e+000	1	1
5.80052937500000000000e+005	0.00000000000000000000e+000	5.80044000000000000000e+005	2.05545322389999988609e-004	0.00000000000000000000e+000	1.16156471249999995621e+002	0.00000000000000000000e+000	-9.06093172133330606189e-005	0.00000000000000000000e+000	1.84496154947854165695e-004	0.00000000000000000000e+000	4.52800003055017441511e+000	1	1
5.80055062500000000000e+005	0.00000000000000000000e+000	5.80046000000000000000e+005	2.05605567320000013178e-004	0.00000000000000000000e+000	1.16149818420000002561e+002	0.00000000000000000000e+000	-9.06144451891944657101e-005	0.00000000000000000000e+000	1.84560753238692456125e-004	0.00000000000000000000e+000	4.70600003050640225410e+000	1	1
5.80056750000000000000e+005	0.00000000000000000000e+000	5.80048000000000000000e+005	2.05669799470000006511e-004	0.00000000000000000000e+000	1.16152854919999995786e+002	0.00000000000000000000e+000	-9.06525376499020421692e-005	0.00000000000000000000e+000	1.84613606843220262469e-004	0.00000000000000000000e+000	4.88200003048405051231e+000	1	1
5.80059750000000000000e+005	0.00000000000000000000e+000	5.80050000000000000000e+005	2.05733740589999987468e-004	0.00000000000000000000e+000	1.16145568850000003636e+002	0.00000000000000000000e+000	-9.06572362206030650956e-005	0.00000000000000000000e+000	1.84682531761927031270e-004	0.00000000000000000000e+000	5.05700003053061664104e+000	1	1
5.80061125000000000000e+005	0.00000000000000000000e+000	5.80052000000000000000e+005	2.05800199180000009539e-004	0.00000000000000000000e+000	1.16141052250000001322e+002	0.00000000000000000000e+000	-9.06719579890406882907e-005	0.00000000000000000000e+000	1.84749338339711827173e-004	0.00000000000000000000e+000	5.24200003047008067369e+000	1	1
5.80063250000000000000e+005	0.00000000000000000000e+000	5.80054000000000000000e+005	2.05841002749999999084e-004	0.00000000000000000000e+000	1.16134933470000007105e+002	0.00000000000000000000e+000	-9.06702009879935526965e-005	0.00000000000000000000e+000	1.84795652183492563076e-004	0.00000000000000000000e+000	5.41900003049522638321e+000	1	1
5.80064625000000000000e+005	0.00000000000000000000e+000	5.80056000000000000000e+005	2.05949647349999996658e-004	0.00000000000000000000e+000	1.16134170530000005783e+002	0.00000000000000000000e+000	-9.07155954656632023325e-005	0.00000000000000000000e+000	1.84894396840194991192e-004	0.00000000000000000000e+000	5.59500003047287464142e+000	1	1
5.80067625000000000000e+005	0.00000000000000000000e+000	5.80058000000000000000e+005	2.06000928300000013147e-004	0.00000000000000000000e+000	1.16131080629999999587e+002	0.00000000000000000000e+000	-9.07282096520430433482e-005	0.00000000000000000000e+000	1.84945328229173358873e-004	0.00000000000000000000e+000	5.77100003056693822145e+000	1	1
5.80069062500000000000e+005	0.00000000000000000000e+000	5.80060000000000000000e+005	2.06071505089999989103e-004	0.00000000000000000000e+000	1.16122222899999997026e+002	0.00000000000000000000e+000	-9.07306907308284306662e-005	0.00000000000000000000e+000	1.85022720144215410557e-004	0.00000000000000000000e+000	5.94500003056600689888e+000	1	1
5.80071937500000000000e+005	0.00000000000000000000e+000	5.80062000000000000000e+005	2.06153476029999994457e-004	0.00000000000000000000e+000	1.16119606020000006197e+002	0.00000000000000000000e+000	-9.07583274737536134557e-005	0.00000000000000000000e+000	1.85100463730966061787e-004	0.00000000000000000000e+000	6.12000003049615770578e+000	1	1
5.80073375000000000000e+005	0.00000000000000000000e+000	5.80064000000000000000e+005	2.06204174900000006872e-004	0.00000000000000000000e+000	1.16120620729999998844e+002	0.00000000000000000000e+000	-9.07839263959402939302e-005	0.00000000000000000000e+000	1.85144377323013208363e-004	0.00000000000000000000e+000	6.29700003052130341530e+000	1	1
5.80074125000000000000e+005	0.00000000000000000000e+000	5.80066000000000000000e+005	2.06281212740000013126e-004	0.00000000000000000000e+000	1.16115135190000003718e+002	0.00000000000000000000e+000	-9.08001103564384765649e-005	0.00000000000000000000e+000	1.85222241344671484636e-004	0.00000000000000000000e+000	6.47200003056786954403e+000	1	1
5.80077625000000000000e+005	0.00000000000000000000e+000	5.80068000000000000000e+005	2.06370561499999997023e-004	0.00000000000000000000e+000	1.16111618039999996199e+002	0.00000000000000000000e+000	-9.08280644470017091072e-005	0.00000000000000000000e+000	1.85308044516789880525e-004	0.00000000000000000000e+000	6.64700003049802035093e+000	1	1
5.80078687500000000000e+005	0.00000000000000000000e+000	5.80070000000000000000e+005	2.06423370399999990500e-004	0.00000000000000000000e+000	1.16101356510000002231e+002	0.00000000000000000000e+000	-9.08181086111319529159e-005	0.00000000000000000000e+000	1.85371731921542536601e-004	0.00000000000000000000e+000	6.82500003057066351175e+000	1	1
5.80081500000000000000e+005	0.00000000000000000000e+000	5.80072000000000000000e+005	2.06520402570000007969e-004	0.00000000000000000000e+000	1.16099792480000004957e+002	0.00000000000000000000e+000	-9.08557363312193557456e-005	0.00000000000000000000e+000	1.85461348677795449802e-004	0.00000000000000000000e+000	7.00200003047939389944e+000	1	1
5.80082875000000000000e+005	0.00000000000000000000e+000	5.80074000000000000000e+005	2.06561162489999987617e-004	0.00000000000000000000e+000	1.16093910219999997935e+002	0.00000000000000000000e+000	-9.08546234932010733209e-005	0.00000000000000000000e+000	1.85507280825117078053e-004	0.00000000000000000000e+000	7.17700003052596002817e+000	1	1
5.80086187500000000000e+005	0.00000000000000000000e+000	5.80076000000000000000e+005	2.06645854629999999562e-004	0.00000000000000000000e+000	1.16090080259999993473e+002	0.00000000000000000000e+000	-9.08794691986441251783e-005	0.00000000000000000000e+000	1.85589415953431422120e-004	0.00000000000000000000e+000	7.35400003055110573769e+000	1	1
5.80088187500000000000e+005	0.00000000000000000000e+000	5.80078000000000000000e+005	2.06744341990000010450e-004	0.00000000000000000000e+000	1.16082923890000003553e+002	0.00000000000000000000e+000	-9.08995900433010278578e-005	0.00000000000000000000e+000	1.85689222828999667657e-004	0.00000000000000000000e+000	7.53300003055483102798e+000	1	1
