TimeAll	TimeExperiment	R	Theta
4.720001e-001	7.800007e-002	2.513451e-004	1.058974e+002
5.810001e-001	1.870000e-001	2.513324e-004	1.058941e+002
6.770000e-001	2.830000e-001	2.513745e-004	1.058937e+002
7.740002e-001	3.800001e-001	2.520067e-004	1.051772e+002
8.690002e-001	4.750001e-001	2.529432e-004	1.041710e+002
9.660001e-001	5.720000e-001	2.535854e-004	1.030857e+002
1.060000e+000	6.660001e-001	2.539144e-004	1.019227e+002
1.152000e+000	7.580001e-001	2.537672e-004	1.006786e+002
1.243000e+000	8.490000e-001	2.531630e-004	9.939371e+001
1.336000e+000	9.420002e-001	2.518941e-004	9.796895e+001
1.428000e+000	1.034000e+000	2.499151e-004	9.652532e+001
1.520000e+000	1.126000e+000	2.470865e-004	9.502710e+001
1.651000e+000	1.257000e+000	2.429919e-004	9.338551e+001
1.744000e+000	1.350000e+000	2.381803e-004	9.189390e+001
1.838000e+000	1.444000e+000	2.323301e-004	9.046707e+001
1.932000e+000	1.538000e+000	2.259448e-004	8.925059e+001
2.041000e+000	1.647000e+000	2.185988e-004	8.818279e+001
2.150000e+000	1.756000e+000	2.092180e-004	8.726315e+001
2.244000e+000	1.850000e+000	2.005883e-004	8.681240e+001
2.337000e+000	1.943000e+000	1.931665e-004	8.675137e+001
2.431000e+000	2.037000e+000	1.857666e-004	8.700755e+001
2.524000e+000	2.130000e+000	1.791747e-004	8.756236e+001
2.634000e+000	2.240000e+000	1.732195e-004	8.837527e+001
2.727000e+000	2.333000e+000	1.674498e-004	8.956292e+001
2.821000e+000	2.427000e+000	1.630531e-004	9.081092e+001
2.930000e+000	2.536000e+000	1.593002e-004	9.223268e+001
3.024000e+000	2.630000e+000	1.562765e-004	9.375682e+001
3.133000e+000	2.739000e+000	1.540528e-004	9.523982e+001
3.242000e+000	2.848000e+000	1.522033e-004	9.692286e+001
3.336000e+000	2.942000e+000	1.511240e-004	9.840644e+001
3.429000e+000	3.035000e+000	1.505444e-004	9.967557e+001
3.538000e+000	3.144000e+000	1.502410e-004	1.008784e+002
3.632000e+000	3.238000e+000	1.502095e-004	1.021738e+002
3.699000e+000	3.305000e+000	1.503194e-004	1.025220e+002
