TimeAll	TimeExperiment	R	Theta
4.440000e-001	8.300018e-002	1.199999e-004	1.115552e+002
5.760000e-001	2.150002e-001	1.200058e-004	1.115555e+002
6.849999e-001	3.240001e-001	1.200102e-004	1.115479e+002
7.939999e-001	4.330001e-001	1.199920e-004	1.115496e+002
8.880000e-001	5.270002e-001	1.201565e-004	1.114758e+002
9.819999e-001	6.210001e-001	1.207744e-004	1.111932e+002
1.075000e+000	7.140000e-001	1.213413e-004	1.109225e+002
1.184000e+000	8.230002e-001	1.219203e-004	1.106282e+002
1.252000e+000	8.910000e-001	1.226062e-004	1.102579e+002
1.345000e+000	9.840000e-001	1.232129e-004	1.098858e+002
1.440000e+000	1.079000e+000	1.238286e-004	1.094666e+002
1.541000e+000	1.180000e+000	1.244730e-004	1.089811e+002
1.633000e+000	1.272000e+000	1.250386e-004	1.084606e+002
1.727000e+000	1.366000e+000	1.256080e-004	1.078541e+002
1.819000e+000	1.458000e+000	1.261272e-004	1.071545e+002
1.918000e+000	1.557000e+000	1.266163e-004	1.062856e+002
2.013000e+000	1.652000e+000	1.269205e-004	1.053097e+002
2.107000e+000	1.746000e+000	1.269481e-004	1.041600e+002
2.203000e+000	1.842000e+000	1.265935e-004	1.028336e+002
2.335000e+000	1.974000e+000	1.256368e-004	1.013041e+002
2.444000e+000	2.083000e+000	1.240482e-004	9.978621e+001
2.538000e+000	2.177000e+000	1.214083e-004	9.820602e+001
2.632000e+000	2.271000e+000	1.183301e-004	9.697367e+001
2.725000e+000	2.364000e+000	1.150603e-004	9.611516e+001
2.834000e+000	2.473000e+000	1.115714e-004	9.557944e+001
2.928000e+000	2.567000e+000	1.076599e-004	9.540971e+001
3.022000e+000	2.661000e+000	1.045384e-004	9.561842e+001
3.131000e+000	2.770000e+000	1.017669e-004	9.610602e+001
3.240000e+000	2.879000e+000	9.927474e-005	9.684500e+001
3.334000e+000	2.973000e+000	9.723182e-005	9.774357e+001
3.443000e+000	3.082000e+000	9.576132e-005	9.860737e+001
3.536000e+000	3.175000e+000	9.440782e-005	9.963238e+001
3.630000e+000	3.269000e+000	9.353804e-005	1.005464e+002
3.724000e+000	3.363000e+000	9.283962e-005	1.014637e+002
3.817000e+000	3.456000e+000	9.236415e-005	1.023633e+002
3.884000e+000	3.523000e+000	9.204116e-005	1.032270e+002
