Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
3.20705031250000000000e+005	0.00000000000000000000e+000	3.20700000000000000000e+005	1.12083856950000006008e-004	0.00000000000000000000e+000	1.13350128170000004957e+002	0.00000000000000000000e+000	-4.44243100825406788843e-005	0.00000000000000000000e+000	1.02904186807332287531e-004	0.00000000000000000000e+000	6.32000093464739620686e-001	1	1
3.20707031250000000000e+005	0.00000000000000000000e+000	3.20702000000000000000e+005	1.12280111349999996585e-004	0.00000000000000000000e+000	1.13347396849999995538e+002	0.00000000000000000000e+000	-4.44971811556565878965e-005	0.00000000000000000000e+000	1.03086489289184156121e-004	0.00000000000000000000e+000	8.13000093447044491768e-001	1	1
3.20709125000000000000e+005	0.00000000000000000000e+000	3.20704000000000000000e+005	1.12323883509999998412e-004	0.00000000000000000000e+000	1.13343750000000000000e+002	0.00000000000000000000e+000	-4.45079642304483334963e-005	0.00000000000000000000e+000	1.03129510455684701101e-004	0.00000000000000000000e+000	9.94000093429349362850e-001	1	1
3.20711437500000000000e+005	0.00000000000000000000e+000	3.20706000000000000000e+005	1.12365582030000000623e-004	0.00000000000000000000e+000	1.13337577820000007023e+002	0.00000000000000000000e+000	-4.45133731351345514034e-005	0.00000000000000000000e+000	1.03172591501197354470e-004	0.00000000000000000000e+000	1.16900009347591549158e+000	1	1
3.20712156250000000000e+005	0.00000000000000000000e+000	3.20708000000000000000e+005	1.12388668639999998256e-004	0.00000000000000000000e+000	1.13335014340000000743e+002	0.00000000000000000000e+000	-4.45179017889001939993e-005	0.00000000000000000000e+000	1.03195781207303019901e-004	0.00000000000000000000e+000	1.34800009347964078188e+000	1	1
3.20715531250000000000e+005	0.00000000000000000000e+000	3.20710000000000000000e+005	1.12428169810000006738e-004	0.00000000000000000000e+000	1.13332328799999999092e+002	0.00000000000000000000e+000	-4.45287097744903866765e-005	0.00000000000000000000e+000	1.03234138600781684414e-004	0.00000000000000000000e+000	1.52500009350478649139e+000	1	1
3.20717343750000000000e+005	0.00000000000000000000e+000	3.20712000000000000000e+005	1.12486057329999993557e-004	0.00000000000000000000e+000	1.13322319030000002726e+002	0.00000000000000000000e+000	-4.45335915910145609966e-005	0.00000000000000000000e+000	1.03295074004778968634e-004	0.00000000000000000000e+000	1.70500009343959391117e+000	1	1
3.20719531250000000000e+005	0.00000000000000000000e+000	3.20714000000000000000e+005	1.12537294630000000149e-004	0.00000000000000000000e+000	1.13310928340000003800e+002	0.00000000000000000000e+000	-4.45333307870380488676e-005	0.00000000000000000000e+000	1.03350980312968854127e-004	0.00000000000000000000e+000	1.88200009346473962069e+000	1	1
3.20720625000000000000e+005	0.00000000000000000000e+000	3.20716000000000000000e+005	1.12565736340000004719e-004	0.00000000000000000000e+000	1.13309738159999994878e+002	0.00000000000000000000e+000	-4.45424383422949514508e-005	0.00000000000000000000e+000	1.03378025635476555291e-004	0.00000000000000000000e+000	2.06000009342096745968e+000	1	1
3.20723718750000000000e+005	0.00000000000000000000e+000	3.20718000000000000000e+005	1.12635934779999996288e-004	0.00000000000000000000e+000	1.13309783940000002644e+002	0.00000000000000000000e+000	-4.45702986268060313423e-005	0.00000000000000000000e+000	1.03442458807211966148e-004	0.00000000000000000000e+000	2.23900009342469274998e+000	1	1
3.20725500000000000000e+005	0.00000000000000000000e+000	3.20720000000000000000e+005	1.12649402580000001410e-004	0.00000000000000000000e+000	1.13300186159999995539e+002	0.00000000000000000000e+000	-4.45582972270257906015e-005	0.00000000000000000000e+000	1.03462292889046965794e-004	0.00000000000000000000e+000	2.41800009342841804028e+000	1	1
3.20727031250000000000e+005	0.00000000000000000000e+000	3.20722000000000000000e+005	1.12703899500000005555e-004	0.00000000000000000000e+000	1.13298797609999994052e+002	0.00000000000000000000e+000	-4.45773447887128429490e-005	0.00000000000000000000e+000	1.03513425670752088150e-004	0.00000000000000000000e+000	2.59600009350106120110e+000	1	1
3.20728718750000000000e+005	0.00000000000000000000e+000	3.20724000000000000000e+005	1.12769652329999998421e-004	0.00000000000000000000e+000	1.13289703369999998017e+002	0.00000000000000000000e+000	-4.45869114989037087235e-005	0.00000000000000000000e+000	1.03580895002978245014e-004	0.00000000000000000000e+000	2.77600009343586862087e+000	1	1
3.20730187500000000000e+005	0.00000000000000000000e+000	3.20726000000000000000e+005	1.12821864600000002594e-004	0.00000000000000000000e+000	1.13285240169999994464e+002	0.00000000000000000000e+000	-4.45994826402744778309e-005	0.00000000000000000000e+000	1.03632327388902107344e-004	0.00000000000000000000e+000	2.95400009350851178169e+000	1	1
3.20732375000000000000e+005	0.00000000000000000000e+000	3.20728000000000000000e+005	1.12870613520000003080e-004	0.00000000000000000000e+000	1.13275848389999993060e+002	0.00000000000000000000e+000	-4.46017584309229658509e-005	0.00000000000000000000e+000	1.03684418025327208844e-004	0.00000000000000000000e+000	3.13200009346473962069e+000	1	1
3.20734593750000000000e+005	0.00000000000000000000e+000	3.20730000000000000000e+005	1.12918918599999999514e-004	0.00000000000000000000e+000	1.13262832639999999174e+002	0.00000000000000000000e+000	-4.45972816027037004347e-005	0.00000000000000000000e+000	1.03738925439984060097e-004	0.00000000000000000000e+000	3.30900009348988533020e+000	1	1
