TimeAll	TimeExperiment	R	Theta
4.400001e-001	8.000016e-002	3.602878e-004	1.177627e+002
5.880001e-001	2.280002e-001	3.603172e-004	1.177628e+002
6.980000e-001	3.380001e-001	3.607473e-004	1.176383e+002
7.909999e-001	4.310000e-001	3.634059e-004	1.168972e+002
8.850000e-001	5.250001e-001	3.655596e-004	1.160910e+002
9.779999e-001	6.180000e-001	3.671758e-004	1.151135e+002
1.088000e+000	7.280002e-001	3.676954e-004	1.138024e+002
1.181000e+000	8.210001e-001	3.662070e-004	1.122328e+002
1.275000e+000	9.150002e-001	3.619663e-004	1.106505e+002
1.368000e+000	1.008000e+000	3.540049e-004	1.090723e+002
1.462000e+000	1.102000e+000	3.426194e-004	1.078697e+002
1.571000e+000	1.211000e+000	3.283063e-004	1.073397e+002
1.665000e+000	1.305000e+000	3.136097e-004	1.078217e+002
1.758000e+000	1.398000e+000	3.033892e-004	1.089963e+002
1.868000e+000	1.508000e+000	2.965510e-004	1.106042e+002
1.961000e+000	1.601000e+000	2.931092e-004	1.121911e+002
2.055000e+000	1.695000e+000	2.919626e-004	1.135154e+002
2.148000e+000	1.788000e+000	2.921291e-004	1.146390e+002
2.242000e+000	1.882000e+000	2.929661e-004	1.155838e+002
2.351000e+000	1.991000e+000	2.941900e-004	1.163488e+002
2.415000e+000	2.055000e+000	2.958038e-004	1.170161e+002
2.510000e+000	2.150000e+000	2.972398e-004	1.174987e+002
2.604000e+000	2.244000e+000	2.977579e-004	1.176341e+002
2.703000e+000	2.343000e+000	2.976205e-004	1.175979e+002
2.796000e+000	2.436000e+000	2.975360e-004	1.175725e+002
2.890000e+000	2.530000e+000	2.974406e-004	1.175435e+002
2.986000e+000	2.626000e+000	2.973641e-004	1.175276e+002
