Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
9.86014687500000000000e+005	0.00000000000000000000e+000	9.86000000000000000000e+005	3.36661003530000003427e-004	0.00000000000000000000e+000	1.20319679260000000909e+002	0.00000000000000000000e+000	-1.69954592073965341696e-004	0.00000000000000000000e+000	2.90613261794431406403e-004	0.00000000000000000000e+000	7.19999927561730146408e-001	1	1
9.86017187500000000000e+005	0.00000000000000000000e+000	9.86002000000000000000e+005	3.36705823429999989618e-004	0.00000000000000000000e+000	1.20382766720000006444e+002	0.00000000000000000000e+000	-1.70297147313368290363e-004	0.00000000000000000000e+000	2.90464616000991199003e-004	0.00000000000000000000e+000	8.73999927542172372341e-001	1	1
9.86020125000000000000e+005	0.00000000000000000000e+000	9.86004000000000000000e+005	3.36772762240000007525e-004	0.00000000000000000000e+000	1.20377120970000007105e+002	0.00000000000000000000e+000	-1.70302375235255516218e-004	0.00000000000000000000e+000	2.90539144309316427119e-004	0.00000000000000000000e+000	1.05599992757197469473e+000	1	1
9.86021687500000000000e+005	0.00000000000000000000e+000	9.86006000000000000000e+005	3.36850847819999998142e-004	0.00000000000000000000e+000	1.20374031070000000909e+002	0.00000000000000000000e+000	-1.70326189930741024635e-004	0.00000000000000000000e+000	2.90615695895335153075e-004	0.00000000000000000000e+000	1.22999992757104337215e+000	1	1
9.86023125000000000000e+005	0.00000000000000000000e+000	9.86008000000000000000e+005	3.36928729669999996177e-004	0.00000000000000000000e+000	1.20372489930000000413e+002	0.00000000000000000000e+000	-1.70357751483467950975e-004	0.00000000000000000000e+000	2.90687470295052335749e-004	0.00000000000000000000e+000	1.40999992750585079193e+000	1	1
9.86025312500000000000e+005	0.00000000000000000000e+000	9.86010000000000000000e+005	3.36999597490000011614e-004	0.00000000000000000000e+000	1.20372558589999997025e+002	0.00000000000000000000e+000	-1.70393932054928971213e-004	0.00000000000000000000e+000	2.90748407781164428226e-004	0.00000000000000000000e+000	1.58699992753099650145e+000	1	1
9.86028250000000000000e+005	0.00000000000000000000e+000	9.86012000000000000000e+005	3.37092002159999979804e-004	0.00000000000000000000e+000	1.20370147709999997687e+002	0.00000000000000000000e+000	-1.70428416201000857344e-004	0.00000000000000000000e+000	2.90835301969097055706e-004	0.00000000000000000000e+000	1.76699992746580392122e+000	1	1
9.86029625000000000000e+005	0.00000000000000000000e+000	9.86014000000000000000e+005	3.37148085240000013486e-004	0.00000000000000000000e+000	1.20363563540000001240e+002	0.00000000000000000000e+000	-1.70423342771023212522e-004	0.00000000000000000000e+000	2.90903275367859444952e-004	0.00000000000000000000e+000	1.94099992746487259865e+000	1	1
9.86031062500000000000e+005	0.00000000000000000000e+000	9.86016000000000000000e+005	3.37246630810000022713e-004	0.00000000000000000000e+000	1.20362480160000004048e+002	0.00000000000000000000e+000	-1.70467653894306722445e-004	0.00000000000000000000e+000	2.90991527313884715787e-004	0.00000000000000000000e+000	2.11699992755893617868e+000	1	1
9.86032500000000000000e+005	0.00000000000000000000e+000	9.86018000000000000000e+005	3.37335775840000014029e-004	0.00000000000000000000e+000	1.20359573359999998843e+002	0.00000000000000000000e+000	-1.70497946864953012040e-004	0.00000000000000000000e+000	2.91077095932349837627e-004	0.00000000000000000000e+000	2.30399992747697979212e+000	1	1
9.86035250000000000000e+005	0.00000000000000000000e+000	9.86020000000000000000e+005	3.37381847199999973953e-004	0.00000000000000000000e+000	1.20358024599999993143e+002	0.00000000000000000000e+000	-1.70513363253306054991e-004	0.00000000000000000000e+000	2.91121458797063308640e-004	0.00000000000000000000e+000	2.48199992754962295294e+000	1	1
9.86037750000000000000e+005	0.00000000000000000000e+000	9.86022000000000000000e+005	3.37441044389999987053e-004	0.00000000000000000000e+000	1.20357238769999995043e+002	0.00000000000000000000e+000	-1.70539288073719814357e-004	0.00000000000000000000e+000	2.91174878144256747432e-004	0.00000000000000000000e+000	2.65799992752727121115e+000	1	1
9.86039812500000000000e+005	0.00000000000000000000e+000	9.86024000000000000000e+005	3.37525154459999998137e-004	0.00000000000000000000e+000	1.20355194089999997686e+002	0.00000000000000000000e+000	-1.70571402770575982584e-004	0.00000000000000000000e+000	2.91253543240463949691e-004	0.00000000000000000000e+000	2.83199992752633988857e+000	1	1
9.86041562500000000000e+005	0.00000000000000000000e+000	9.86026000000000000000e+005	3.37605742970000020746e-004	0.00000000000000000000e+000	1.20349868770000000495e+002	0.00000000000000000000e+000	-1.70585051329887450820e-004	0.00000000000000000000e+000	2.91338939980747137042e-004	0.00000000000000000000e+000	3.00899992755148559809e+000	1	1
9.86043562500000000000e+005	0.00000000000000000000e+000	9.86028000000000000000e+005	3.37704143020000008626e-004	0.00000000000000000000e+000	1.20343765259999997852e+002	0.00000000000000000000e+000	-1.70603725511023240121e-004	0.00000000000000000000e+000	2.91442030350174514312e-004	0.00000000000000000000e+000	3.18599992757663130760e+000	1	1
9.86045812500000000000e+005	0.00000000000000000000e+000	9.86030000000000000000e+005	3.37780540580000015680e-004	0.00000000000000000000e+000	1.20343254090000002066e+002	0.00000000000000000000e+000	-1.70639719837185617306e-004	0.00000000000000000000e+000	2.91509484594247505074e-004	0.00000000000000000000e+000	3.36399992753285914660e+000	1	1
9.86047625000000000000e+005	0.00000000000000000000e+000	9.86032000000000000000e+005	3.37856559780000008028e-004	0.00000000000000000000e+000	1.20342491150000000744e+002	0.00000000000000000000e+000	-1.70674240584531489899e-004	0.00000000000000000000e+000	2.91577362954105522106e-004	0.00000000000000000000e+000	3.53999992751050740480e+000	1	1
9.86050312500000000000e+005	0.00000000000000000000e+000	9.86034000000000000000e+005	3.37959849279999985112e-004	0.00000000000000000000e+000	1.20334999080000002891e+002	0.00000000000000000000e+000	-1.70688278962668641770e-004	0.00000000000000000000e+000	2.91688825891775504236e-004	0.00000000000000000000e+000	3.71399992750957608223e+000	1	1
9.86051312500000000000e+005	0.00000000000000000000e+000	9.86036000000000000000e+005	3.38044163070000012669e-004	0.00000000000000000000e+000	1.20336265560000001074e+002	0.00000000000000000000e+000	-1.70737311183961697984e-004	0.00000000000000000000e+000	2.91757822097999286633e-004	0.00000000000000000000e+000	3.88799992750864475965e+000	1	1
